iter	Passed	Remaining
0	4	4851
1	6	3433
2	8	2835
3	10	2512
4	11	2318
5	13	2198
6	15	2158
7	16	2083
8	18	2026
9	20	2006
10	22	2008
11	24	1977
12	25	1943
13	26	1898
14	28	1870
15	30	1848
16	31	1839
17	33	1822
18	34	1802
19	36	1791
20	38	1777
21	39	1762
22	41	1749
23	42	1740
24	44	1737
25	45	1721
26	47	1717
27	49	1709
28	50	1700
29	52	1697
30	53	1686
31	55	1676
32	56	1666
33	58	1660
34	59	1652
35	61	1650
36	63	1647
37	65	1649
38	68	1683
39	70	1689
40	71	1683
41	73	1683
42	75	1683
43	77	1681
44	78	1674
45	80	1672
46	82	1667
47	83	1658
48	85	1651
49	86	1645
50	88	1640
51	89	1635
52	91	1630
53	92	1624
54	94	1617
55	95	1614
56	97	1620
57	99	1615
58	101	1616
59	102	1611
60	104	1606
61	105	1600
62	107	1594
63	108	1591
64	110	1588
65	112	1588
66	113	1585
67	115	1582
68	117	1581
69	119	1585
70	120	1581
71	122	1576
72	123	1573
73	125	1570
74	127	1569
75	129	1570
76	130	1569
77	133	1575
78	135	1574
79	136	1572
80	138	1568
81	139	1565
82	141	1564
83	143	1561
84	145	1566
85	147	1563
86	148	1562
87	150	1560
88	152	1560
89	153	1555
90	155	1554
91	157	1551
92	158	1545
93	160	1542
94	163	1560
95	167	1573
96	168	1571
97	171	1575
98	173	1576
99	175	1578
100	177	1575
101	178	1574
102	180	1575
103	182	1574
104	184	1571
105	186	1569
106	187	1565
107	189	1563
108	190	1559
109	192	1556
110	194	1555
111	196	1557
112	198	1558
113	200	1555
114	202	1556
115	203	1554
116	205	1551
117	207	1549
118	208	1546
119	210	1545
120	212	1543
121	214	1546
122	217	1552
123	219	1549
124	220	1546
125	223	1548
126	224	1546
127	226	1543
128	228	1544
129	230	1542
130	232	1542
131	234	1542
132	237	1545
133	238	1544
134	240	1544
135	243	1545
136	245	1546
137	247	1547
138	249	1547
139	251	1544
140	253	1542
141	255	1544
142	257	1541
